epoch,accuracy,loss,val_accuracy,val_loss
0,0.6784236431121826,0.9827287197113037,0.5813792943954468,1.5243635177612305
1,0.6862068772315979,0.9516243934631348,0.5772413611412048,1.4391194581985474
2,0.6966995000839233,0.9251227974891663,0.5731034278869629,1.4284917116165161
3,0.6996058821678162,0.9052154421806335,0.568965494632721,1.4401038885116577
4,0.7021182179450989,0.9000676274299622,0.5758620500564575,1.4724171161651611
5,0.7083251476287842,0.882988452911377,0.5772413611412048,1.4718157052993774
6,0.7179803252220154,0.851743757724762,0.591724157333374,1.3813512325286865
7,0.7217241525650024,0.8423296809196472,0.6062068939208984,1.3234905004501343
8,0.7258620858192444,0.827690601348877,0.5951724052429199,1.404421329498291
9,0.7330541610717773,0.7991102337837219,0.6075862050056458,1.361958384513855
