epoch,accuracy,loss,val_accuracy,val_loss
0,0.13832512497901917,3.2851994037628174,0.035172414034605026,3.3862054347991943
1,0.18408867716789246,3.2391810417175293,0.16275861859321594,3.260732412338257
2,0.21842364966869354,3.206331253051758,0.20482759177684784,3.21865177154541
3,0.26024630665779114,3.166505813598633,0.21586206555366516,3.2093324661254883
4,0.28945812582969666,3.1374802589416504,0.2393103390932083,3.1856489181518555
5,0.29935961961746216,3.1262168884277344,0.2475862056016922,3.1775248050689697
6,0.31054186820983887,3.114893674850464,0.25999999046325684,3.163768768310547
7,0.31847289204597473,3.1077065467834473,0.25999999046325684,3.1644766330718994
8,0.32211822271347046,3.1029069423675537,0.2813793122768402,3.1395227909088135
9,0.3271428644657135,3.098202705383301,0.28551724553108215,3.1383626461029053
10,0.3308374285697937,3.0947890281677246,0.2931034564971924,3.1306283473968506
11,0.33216747641563416,3.0930027961730957,0.27931034564971924,3.145010471343994
12,0.3330049216747284,3.091431140899658,0.26758620142936707,3.155996084213257
13,0.3345320224761963,3.089911460876465,0.28896552324295044,3.136624574661255
14,0.34078818559646606,3.084244728088379,0.2393103390932083,3.1834981441497803
15,0.3371921181678772,3.086599349975586,0.27379310131073,3.1481640338897705
16,0.3565024733543396,3.068361520767212,0.33103448152542114,3.0908703804016113
17,0.37108373641967773,3.054727792739868,0.3427586257457733,3.0810940265655518
18,0.37551724910736084,3.0506930351257324,0.3448275923728943,3.077690362930298
19,0.37472906708717346,3.0513253211975098,0.34689655900001526,3.077950954437256
20,0.37857142090797424,3.047807216644287,0.35517242550849915,3.0734364986419678
21,0.39763545989990234,3.029503345489502,0.37172412872314453,3.054080009460449
22,0.40231525897979736,3.024071216583252,0.3786206841468811,3.050086498260498
23,0.40591132640838623,3.0210928916931152,0.38137930631637573,3.045860767364502
24,0.4088670015335083,3.0180013179779053,0.3772413730621338,3.044724941253662
25,0.40945813059806824,3.0172109603881836,0.3772413730621338,3.0494558811187744
26,0.40827587246894836,3.0182220935821533,0.38620689511299133,3.0397603511810303
27,0.40945813059806824,3.017068862915039,0.38620689511299133,3.040071487426758
28,0.413300484418869,3.014350414276123,0.38137930631637573,3.043745279312134
29,0.412167489528656,3.014514446258545,0.4096551835536957,3.0185859203338623
30,0.42798030376434326,2.9991416931152344,0.4041379392147064,3.0224692821502686
31,0.4288177192211151,2.9986701011657715,0.40206897258758545,3.0240190029144287
32,0.43182265758514404,2.995777130126953,0.4179310202598572,3.014477014541626
33,0.432413786649704,2.9951655864715576,0.40551725029945374,3.0214743614196777
34,0.4331527054309845,2.994751214981079,0.40689656138420105,3.0205607414245605
35,0.43576353788375854,2.992182493209839,0.411034494638443,3.0157415866851807
36,0.4366009831428528,2.9913434982299805,0.40068966150283813,3.0267868041992188
37,0.4405418634414673,2.987114429473877,0.40689656138420105,3.0217015743255615
38,0.4435468018054962,2.9840710163116455,0.4172413647174835,3.0098369121551514
39,0.44310346245765686,2.984095573425293,0.41999998688697815,3.0104684829711914
40,0.4435468018054962,2.983706474304199,0.4172413647174835,3.0106875896453857
41,0.4467487633228302,2.9816980361938477,0.4172413647174835,3.009629249572754
42,0.4460098445415497,2.982089042663574,0.42137929797172546,3.010899782180786
43,0.44768473505973816,2.980541229248047,0.41862067580223083,3.0107860565185547
44,0.44679802656173706,2.981259346008301,0.42137929797172546,3.0102579593658447
45,0.44630542397499084,2.9813246726989746,0.41862067580223083,3.0091934204101562
46,0.4456157684326172,2.9810681343078613,0.4193103313446045,3.009714126586914
47,0.44630542397499084,2.981333017349243,0.4193103313446045,3.0090370178222656
48,0.4464532136917114,2.981079339981079,0.4193103313446045,3.009341239929199
49,0.4463546872138977,2.981461524963379,0.41862067580223083,3.0106215476989746
